All_India_Rank,Percentile
143112,85.6889662
143240,85.6761343
143909,85.6092277
143993,85.6007937
144314,85.5687387
144402,85.5599143
144621,85.5380902
145005,85.4995951
146040,85.3961672
146049,85.3952437
146262,85.3739368
146720,85.3279994
147058,85.2943465
147895,85.2105936
148249,85.1751778
149223,85.0777259
149762,85.0238997
149861,85.0140017
150299,84.9701348
150300,84.9700263
150359,84.9642243
150363,84.9638436
150382,84.9619095
150669,84.9332575
150798,84.9202957
150936,84.9064973
151136,84.8864541
151362,84.863822
151392,84.8609927
151760,84.8241566
152555,84.7445304
152984,84.7017078
153151,84.684995
153294,84.6706863
154013,84.5987795
154833,84.5168191
154942,84.5059409
156040,84.3961201
156157,84.384394
156263,84.3737921
156531,84.3470468
157261,84.2740232
158107,84.1894036
158487,84.1513982
158509,84.1492173
158573,84.1427766
159085,84.0916411
159770,84.0230462
159806,84.0194794
159861,84.0140306
160129,83.9871434
160301,83.9699213
160552,83.9449032
160617,83.9383152
161139,83.8861351
161161,83.8840378
161557,83.8443898
162613,83.7388643
163019,83.6981398
163022,83.6978953
163145,83.68562
163370,83.6630415
163458,83.6543516
163501,83.6500255
163608,83.6392195
164075,83.5925981
164145,83.5856193
164384,83.5616705
164570,83.543026
164631,83.5370139
165096,83.4906106
165127,83.4873807
165615,83.4386785
165617,83.4383624
165796,83.4205108
165916,83.4085386
165968,83.4032996
166604,83.3396851
166735,83.3266363
167078,83.2923946
167153,83.284815
167746,83.2254742
167936,83.2064905
168026,83.197626
168269,83.1732067
168430,83.1570703
168648,83.1352427
168700,83.1300087
168723,83.1278182
168738,83.1263327
168988,83.1012802
169441,83.0559993
169741,83.0259415
169804,83.0197066
169843,83.0158241
170195,82.9805732
170460,82.9541845
170630,82.9370581
170919,82.9082142
171180,82.8821424
171383,82.8617961
171640,82.8360906
171696,82.8304286
171876,82.8125679
171892,82.8108915
172034,82.7967269
172079,82.7922336
172172,82.7828686
172416,82.7584901
172533,82.7468667
172695,82.7305441
172722,82.7280064
173182,82.6818628
173276,82.672441
173391,82.6610066
173544,82.6458104
173863,82.6137045
173906,82.6094929
173944,82.6057238
173951,82.6050017
173990,82.6011191
174007,82.5993641
174228,82.57727
174303,82.5697926
174430,82.5570435
175036,82.4964978
175114,82.4886806
175209,82.4791765
175368,82.463316
175525,82.447509
175877,82.4123885
176660,82.3342159
177405,82.2595457
177591,82.2410643
177942,82.2059027
177985,82.2015699
178012,82.198834
178242,82.175907
179411,82.0590727
179428,82.0572805
179789,82.021196
180025,81.9976505
180171,81.983017
180388,81.9612214
180965,81.9036049
181323,81.8678756
181789,81.8211982
181977,81.8022629
182979,81.7022194
183040,81.6960901
183728,81.6272085
184712,81.528816
184900,81.5101488
184991,81.5009634
185204,81.4796546
185581,81.4419982
185618,81.4382678
186125,81.387605
186239,81.3761899
186491,81.35094
186726,81.3274744
187216,81.2785221
187275,81.2726021
187385,81.2615959
187420,81.2581969
187623,81.2378366
188091,81.1910426
188098,81.1902917
188168,81.183311
188266,81.1734784
188295,81.1706389
188335,81.1665945
188459,81.1542111
188552,81.144908
188986,81.1014991
189067,81.0935469
189317,81.0683667
189427,81.0573662
189765,81.0236347
190306,80.9694702
190865,80.9135854
190895,80.9105457
190937,80.9064246
191004,80.8997252
191228,80.8772842
191375,80.8626357
191538,80.8462071
192048,80.7952647
192065,80.7935915
192144,80.7856414
192159,80.7841126
192175,80.7825846
192265,80.7736347
192519,80.7482641
192637,80.7363726
193025,80.6976367
193180,80.6821318
193192,80.6809609
193924,80.6076825
194014,80.5986101
194094,80.5907035
194321,80.5679493
194344,80.5656638
194383,80.5617849
194537,80.5463831
194700,80.5301071
194970,80.5031352
195260,80.4740816
195334,80.4667198
195541,80.4460007
195551,80.4450468
195664,80.4336906
195899,80.4101961
195961,80.4039813
196145,80.3855919
196334,80.3666608
196446,80.3554559
196501,80.3500388
196650,80.3350458
196760,80.324084
196772,80.3229508
196846,80.3154824
197112,80.2889414
197288,80.2712704
197320,80.2680474
197349,80.2651203
197451,80.2550656
197529,80.2471432
198640,80.1361374
198664,80.13365
199813,80.0188659
200516,79.9486103
200599,79.9401157
200822,79.9178458
201016,79.8985387
201091,79.8910257
201603,79.8398388
201703,79.8297713
201996,79.8005994
202188,79.7813059
202434,79.7566392
202630,79.7370873
202962,79.7038398
203032,79.6969795
203774,79.622667
204058,79.5943246
204128,79.5872765
204402,79.5598692
204461,79.5539045
204698,79.5303299
205017,79.498465
205099,79.4901542
205106,79.4894227
205869,79.4132402
205925,79.4075177
205965,79.403661
206391,79.3609548
206557,79.3443448
206708,79.3293124
207797,79.2203481
208055,79.1945646
208326,79.1675177
208413,79.1586785
208568,79.1433821
208866,79.1135022
209152,79.0848354
209358,79.0642491
209688,79.0313496
209808,79.0193301
210223,78.9778693
210289,78.9711659
210398,78.9603148
210717,78.9284213
211106,78.8895348
211292,78.8709564
211422,78.8578641
211614,78.8386943
211752,78.8248695
211818,78.8182974
212186,78.7815349
212815,78.7185173
212830,78.7171555
213079,78.692143
213105,78.6895846
213127,78.6874622
213802,78.6199164
213803,78.619817
214273,78.572741
214560,78.5440478
214925,78.5076471
214975,78.5025705
215364,78.4636753
215376,78.4625482
215378,78.4622475
215402,78.4599135
215506,78.4495021
215509,78.4491999
215559,78.4441741
215693,78.430771
215780,78.4220461
216124,78.3877241
216150,78.3850666
216449,78.3552484
216529,78.3471888
216686,78.3314471
217247,78.2753881
217490,78.2510795
217581,78.2420505
218136,78.1864815
218268,78.1732862
218687,78.1314706
218834,78.1167254
219021,78.0980831
219459,78.054263
219755,78.0245556
219932,78.0069495
219953,78.0048763
220210,77.9791766
220231,77.9770494
220989,77.9012484
221435,77.8565849
221564,77.8436581
221601,77.8399824
221692,77.8308168
221742,77.8259671
222085,77.7915858
222253,77.7748646
222465,77.7535384
222908,77.7093541
223381,77.6619753
223548,77.6452358
223719,77.6282814
223845,77.6156554
223948,77.6053106
224028,77.5973017
224202,77.579922
224221,77.5780097
224412,77.5588604
224721,77.5279794
224790,77.521198
225054,77.4948336
225097,77.4904781
225106,77.4895239
225833,77.4167831
225882,77.4118601
226053,77.3947634
226177,77.3823723
226450,77.3552076
226847,77.3154903
227033,77.2968373
227295,77.270552
227572,77.2429447
227661,77.2339881
227728,77.2271923
228466,77.1535144
228831,77.1169579
228878,77.1122596
228923,77.1077875
229135,77.0865751
229195,77.0805983
229742,77.0258959
229789,77.0211062
229819,77.018276
230150,76.9850508
230230,76.9770524
230431,76.9569836
230580,76.9420946
230585,76.9416729
230736,76.9265135
230765,76.9236283
230879,76.9122137
231090,76.8911116
231814,76.8187155
231828,76.8172034
232278,76.7722875
232292,76.7709581
232538,76.7464971
232778,76.7222398
232974,76.7027212
233017,76.6983714
233150,76.6852024
233364,76.6636323
233508,76.6493312
233533,76.6467296
233946,76.6054841
233967,76.6033983
234471,76.5530535
234629,76.5371461
234867,76.5134332
235013,76.4988009
235226,76.4775136
236351,76.3650479
236473,76.3527359
236841,76.3160405
237102,76.2898716
237495,76.2506548
238418,76.1583167
238503,76.1497895
238723,76.1277705
239247,76.0754412
239293,76.070863
239307,76.0693734
239388,76.0612433
239684,76.0317347
239755,76.0245276
239980,76.0020347
240030,75.9970469
240181,75.9819792
240256,75.9744332
240399,75.9601031
240400,75.9600432
240679,75.9322321
240693,75.9307364
240841,75.915983
240874,75.9127973
240935,75.9065975
241195,75.8806171
241270,75.8730527
241310,75.8692082
241471,75.8529729
241602,75.8398886
241638,75.8363659
241680,75.8320909
241756,75.8245024
241811,75.8189859
242039,75.7961863
242163,75.7838185
242170,75.7831276
242294,75.7706678
242522,75.7478617
242646,75.7354695
242852,75.7148299
243077,75.6923205
243673,75.6328149
243687,75.6314469
243690,75.6311436
243794,75.6205809
244515,75.5485877
245089,75.4911449
245170,75.4831072
245269,75.4731791
245807,75.4194296
245914,75.408699
246065,75.3935052
246123,75.3877516
246135,75.3866003
246360,75.3641045
246650,75.3350297
246708,75.3292232
246866,75.3135028
246945,75.3055298
246995,75.3005166
247196,75.2804777
247197,75.2803756
247454,75.2546561
247752,75.2248648
247928,75.2073007
248037,75.196364
248081,75.1920035
248139,75.186181
248145,75.1856084
248696,75.1305439
248729,75.127242
248980,75.1021644
249014,75.0987419
249076,75.0925119
249254,75.0746783
249281,75.0719806
249359,75.0641561
249560,75.0441002
249575,75.0426349
249677,75.0323637
249877,75.0123981
250386,74.9614661
250427,74.9574105
250514,74.9486725
250790,74.921063
250825,74.917566
250930,74.9071252
251187,74.8813952
251419,74.8581786
251492,74.8509131
251575,74.8425793
252204,74.7797563
252229,74.7771513
252319,74.7681907
252655,74.7345298
252932,74.7068827
253041,74.695916
253093,74.6908373
253683,74.6318383
253742,74.6259392
253766,74.6235014
253814,74.618656
253828,74.61726
253973,74.6028765
254066,74.5935718
254198,74.5803061
254455,74.5545742
254461,74.5540684
254504,74.5496653
255216,74.4785114
255227,74.4774676
255406,74.4594582
255582,74.4419415
256334,74.366726
256399,74.360198
256529,74.3471503
256953,74.3047638
257073,74.2928145
257163,74.2837288
257230,74.2771065
257468,74.2533271
257717,74.2284493
257912,74.2088301
257940,74.2061658
257959,74.2042848
257977,74.2024205
258075,74.1925481
258177,74.1823836
258433,74.1567976
258493,74.1508135
258651,74.1350011
258688,74.1313141
258790,74.1210955
259459,74.0542133
259493,74.050777
259536,74.0464831
259620,74.0380712
259650,74.0351959
259765,74.0236732
260027,73.9974278
260269,73.9732663
260321,73.9680399
260570,73.9431091
260585,73.9415247
260647,73.9353869
260795,73.9205832
261020,73.8980433
261628,73.8372257
261898,73.8103246
261908,73.8093162
262134,73.7866416
262613,73.7387627
262870,73.7131581
262993,73.7007561
263099,73.6902085
263188,73.6812905
263737,73.6264253
263899,73.6101572
264305,73.5696045
264354,73.5647084
264476,73.5525115
264683,73.531804
264709,73.5292172
264835,73.5167096
265109,73.4893281
265285,73.471568
265348,73.4651841
265360,73.4641298
265763,73.4238093
265769,73.4232531
265827,73.4174142
265828,73.4173029
265959,73.4042564
266139,73.3862634
266221,73.3779307
266304,73.3696592
266347,73.3653947
266357,73.3644049
266768,73.3232887
266882,73.3119217
266997,73.3004498
267144,73.2857861
267439,73.2562289
267565,73.2435574
267927,73.2073926
268428,73.1572962
268495,73.1506257
268528,73.1473194
268601,73.1401025
268889,73.1111769
268964,73.1037192
268983,73.1019177
269046,73.0954707
269170,73.0831073
269288,73.0712528
269934,73.0067041
269938,73.006261
269988,73.0013523
270074,72.9927074
270265,72.9735532
270271,72.973042
270297,72.970409
270306,72.9695476
270756,72.9244426
270933,72.9068184
271092,72.8909387
271510,72.8490788
271757,72.824337
271809,72.8191979
271994,72.8007614
272760,72.7241563
272968,72.7032786
272971,72.7029358
273069,72.6931784
273502,72.6498766
273636,72.6365223
273734,72.6266947
273839,72.6161623
273885,72.6116552
274149,72.585207
274292,72.5709218
274590,72.5410138
274636,72.5363788
274938,72.5062281
274953,72.504776
275331,72.4670288
275348,72.4651829
275436,72.4565796
275501,72.4500085
275843,72.415868
275928,72.4072557
276093,72.3908252
276139,72.3862043
276532,72.3469409
276799,72.3201883
276997,72.3004237
277410,72.2591551
277588,72.2412674
277718,72.2283121
277762,72.2238056
277856,72.2145351
278381,72.1620977
278478,72.1522378
278562,72.1438954
278709,72.129244
279053,72.0948016
279461,72.0540083
279698,72.0302805
279802,72.0198786
279810,72.0190957
279856,72.0145021
280524,71.9476409
280760,71.9240967
280880,71.9121784
280959,71.904179
281051,71.8949381
281139,71.8861924
281354,71.8646643
281557,71.8443331
281983,71.801807
282213,71.7787645
282391,71.7609688
282422,71.7579077
282504,71.7496233
282633,71.7367129
282642,71.7359335
282765,71.7235035
282885,71.7115512
283069,71.69311
283075,71.6925757
283172,71.6829214
283254,71.6747056
283301,71.6701196
283822,71.6179543
283930,71.6070534
284025,71.5975401
284161,71.5841353
284624,71.5377531
284819,71.5182295
285010,71.4991037
285129,71.4872137
285287,71.4713259
285311,71.4690079
285470,71.4531036
285656,71.4344548
285686,71.4314731
286014,71.3987758
286070,71.3930937
286191,71.3811036
286230,71.377013
286328,71.3672739
286480,71.3520226
286549,71.3451395
286566,71.3434586
287245,71.2756158
287514,71.2487133
288532,71.146866
288632,71.1367886
288812,71.1189739
288837,71.1163857
288979,71.1021442
288994,71.1007137
289169,71.0832102
289226,71.0774839
289488,71.0513074
289588,71.0412422
289633,71.036838
290032,70.9968502
290305,70.9695697
290314,70.9687324
290649,70.9352602
290664,70.9337793
290765,70.9236528
291134,70.8866838
291213,70.8787229
291415,70.8586703
291525,70.8476685
291672,70.8328664
292091,70.7910461
292126,70.7874834
292224,70.7777751
292501,70.7499743
292843,70.7158989
292878,70.7123393
292944,70.7057899
293191,70.6809768
293261,70.6740203
293484,70.6516515
293611,70.6390422
293612,70.638945
293688,70.6314199
293716,70.6285241
294151,70.5850362
294479,70.5521765
294494,70.5507271
294549,70.545181
294794,70.5207058
294846,70.5155087
295226,70.4774824
295275,70.4726031
295374,70.4626812
295470,70.453081
295583,70.4418538
295655,70.4346088
296012,70.3989174
296083,70.3917271
296641,70.3360212
296734,70.3267265
296779,70.3221801
297137,70.2865043
297140,70.2859855
297586,70.2415392
297626,70.2375356
297752,70.2249271
297827,70.2174088
298025,70.1976275
298160,70.1841434
298223,70.1777637
298447,70.155415
298460,70.1540908
298502,70.1498453
298859,70.1142359
298885,70.1115718
299080,70.0920251
299240,70.076073
299400,70.0600601
299603,70.0398514
299652,70.0349077
299839,70.0162691
300056,69.9944667
300096,69.9905437
300291,69.971142
300371,69.9630178
300527,69.9474431
300785,69.9216347
300909,69.9091289
301082,69.8919293
301134,69.8867153
301297,69.870387
301369,69.8631558
301656,69.8345347
301786,69.8214514
301929,69.8073067
301952,69.8049057
302080,69.7920388
302189,69.7811743
302191,69.7809861
302306,69.7696206
302335,69.7665558
302513,69.7487942
302533,69.7467731
302724,69.727725
302942,69.7058739
303068,69.693243
303084,69.6916902
303164,69.683685
303421,69.6579704
303452,69.6548731
303468,69.6533592
303611,69.638984
303636,69.6364433
303648,69.6352769
303867,69.6134027
303895,69.6105332
303942,69.6059813
304079,69.5922434
304435,69.5566715
304714,69.5287196
304807,69.5192953
304821,69.5180768
305134,69.4866568
305248,69.4752609
305337,69.4664078
305343,69.4658689
305406,69.4595527
305484,69.4517453
305550,69.4450844
305675,69.4325836
305708,69.4293173
306029,69.3971935
306353,69.3648445
306548,69.3453415
306832,69.3169296
306908,69.3091737
307242,69.2759064
307430,69.2570946
307499,69.2502084
307711,69.2289623
308273,69.1727338
308285,69.1716232
308610,69.1390822
308854,69.1147287
309536,69.0464665
309625,69.0376708
309751,69.0250501
309957,69.0044148
310066,68.9934893
310382,68.9619426
310569,68.9432196
310607,68.9394119
310946,68.9055521
311219,68.8782713
311411,68.8589374
311492,68.8508475
311826,68.817461
311917,68.8083249
311984,68.8016969
312043,68.79583
312049,68.7951989
312237,68.7763733
312243,68.7758563
313000,68.700107
313256,68.6745171
313282,68.6719577
313761,68.6239938
313763,68.623903
314025,68.5975776
314111,68.5890999
314251,68.5749513
314262,68.5739259
314404,68.5596679
314502,68.549956
314654,68.5346761
314719,68.5282145
315087,68.4913675
315113,68.4888469
315316,68.4684672
315705,68.4296842
316167,68.3833502
316343,68.3657327
316368,68.3633476
316646,68.3354704
316654,68.3346996
316781,68.3219839
316932,68.3068344
317421,68.2579962
317589,68.2412632
317603,68.2398502
317785,68.2216116
317871,68.2130556
318611,68.138947
318687,68.1313837
318988,68.1013198
319008,68.0992935
319061,68.0939877
319142,68.08584
319168,68.0831959
319263,68.0738409
319433,68.0568122
319926,68.0075451
319962,68.0038781
320213,67.9787644
320281,67.9720003
320326,67.9675427
320497,67.9503884
321003,67.8998401
321005,67.8995497
321189,67.8811919
321218,67.8782965
321265,67.8736613
321316,67.8685104
321340,67.8661873
321362,67.8638326
321517,67.8484065
321737,67.826409
321778,67.822331
321960,67.8040593
321975,67.8026842
321979,67.8022006
322308,67.7692456
322366,67.7634992
322400,67.7600843
322542,67.7460392
322574,67.7427525
323088,67.6913025
323346,67.6654944
323369,67.6632476
323414,67.6587499
323711,67.6288544
324244,67.5757321
324318,67.5683014
324461,67.5539344
324515,67.548644
324773,67.5229123
324824,67.5177278
325054,67.494755
325140,67.4861902
325326,67.4674585
325431,67.4569071
325541,67.4460328
325610,67.4390876
325902,67.4098313
325996,67.4004961
326008,67.3993364
326295,67.3705926
326571,67.3429607
326655,67.3345888
326767,67.323399
326769,67.3231035
326865,67.3135929
327105,67.2895328
327686,67.231533
327863,67.2137219
328144,67.1857506
328257,67.1743795
328307,67.1693729
328463,67.1538147
328480,67.1520567
328511,67.1490139
328659,67.1341634
328667,67.1333722
328707,67.1294203
329196,67.0804431
329275,67.0725368
329571,67.0430124
329747,67.0253987
329892,67.0109084
330176,66.9825164
330455,66.9546029
330786,66.9215304
331010,66.8991049
331038,66.8961996
331164,66.8836126
331498,66.8503964
331630,66.8371
331670,66.8331475
331762,66.8238827
331994,66.8006971
332023,66.7977773
332136,66.7866233
332463,66.7538127
332733,66.7267733
332764,66.7236174
332987,66.7014987
333084,66.6916918
333089,66.6912372
333119,66.6882428
333391,66.6609769
333538,66.6463336
333673,66.6327698
334059,66.5941505
334262,66.5739582
334266,66.5734921
334536,66.5465259
334550,66.5451205
334560,66.5441319
334565,66.5435222
334629,66.5371707
334850,66.5150838
334871,66.5129584
334951,66.5050215
335193,66.4808593
335459,66.4542673
335504,66.449683
335586,66.4415146
335732,66.4269223
335786,66.4215311
335868,66.4132561
335892,66.410991
335954,66.4047463
335969,66.4032476
336150,66.3851602
336509,66.3492267
336709,66.3291486
336788,66.3212931
336861,66.3139174
336980,66.3021208
337087,66.2913915
337363,66.263798
337401,66.2600602
337514,66.2486772
337887,66.2113874
337956,66.2045011
338321,66.167908
338347,66.1653867
338457,66.1542757
338591,66.1409707
339080,66.0921428
339086,66.0915224
339237,66.0763703
339242,66.075902
339389,66.0611463
339403,66.0597999
339407,66.0595465
339680,66.0321923
339681,66.0320026
339939,66.006208
340053,65.994751
340406,65.9594599
340564,65.9437181
340574,65.9426738
340686,65.9315452
340730,65.9271785
341189,65.8812166
341279,65.8722051
341341,65.865916
341677,65.8324374
341740,65.8260428
341759,65.8241791
341788,65.821348
342026,65.7975515
342131,65.7869767
342322,65.7678796
342396,65.760465
342938,65.7062401
343117,65.6883683
343532,65.6468193
344008,65.5993342
344131,65.5870197
344222,65.577928
344895,65.5105523
344932,65.5068402
345075,65.4926027
345084,65.4917032
345220,65.4780926
345267,65.4733855
345631,65.4370855
345733,65.4268213
345944,65.4057985
346041,65.3960634
346283,65.3718852
346700,65.3300463
347090,65.2911297
347120,65.2880784
347216,65.2784168
347366,65.2635748
347527,65.2473853
347561,65.2439472
347596,65.2404793
347782,65.2218602
347934,65.2066653
347942,65.2058889
347973,65.2028865
348136,65.1864667
348261,65.174083
348458,65.1543424
348648,65.1353198
348664,65.1337374
348768,65.1233007
348783,65.1218643
348834,65.1167283
348842,65.1158168
349395,65.0606148
349471,65.0530392
349543,65.0457855
349586,65.0415063
349746,65.0254694
349765,65.0235311
350039,64.9961225
350277,64.9723231
350486,64.9515335
350969,64.9030755
351007,64.8993667
351009,64.8991617
351229,64.8771859
351236,64.8764072
351614,64.8387202
351676,64.8324363
351679,64.8322566
351696,64.8304689
351756,64.8244952
351779,64.8222002
351876,64.8125122
351906,64.8095019
351960,64.8040786
352007,64.7994172
352111,64.7890233
352237,64.7763617
352542,64.7459213
352733,64.7268596
352800,64.7201353
352981,64.7020466
353313,64.6688086
353417,64.6583532
353451,64.6549595
353634,64.636716
353997,64.6004471
354440,64.5562393
354674,64.5327491
354693,64.5307415
354932,64.5068616
354966,64.5036139
355257,64.4743893
355282,64.4719024
355327,64.467352
355395,64.4606783
355555,64.444625
355568,64.4432613
355684,64.4316503
356145,64.3856154
356240,64.3761022
356251,64.3750416
356395,64.3606273
356441,64.3559868
356531,64.3469728
356580,64.342092
356635,64.3365725
356783,64.3217935
357180,64.2821008
357387,64.2613551
357604,64.2397315
357623,64.2377815
357625,64.2375579
358021,64.1979824
358302,64.1699121
358580,64.1421042
358778,64.1223211
359059,64.0942449
359597,64.0404652
359663,64.0338143
359906,64.0094465
359952,64.0048865
360207,63.9793498
360220,63.9781848
360792,63.9209994
361021,63.8980325
361190,63.8811429
361234,63.8767125
361451,63.8550183
361571,63.8429201
361634,63.8366963
361732,63.8268559
362096,63.7905141
362151,63.784997
362477,63.7524973
362494,63.7507458
362505,63.7496142
362510,63.7490867
362531,63.7470838
362595,63.7405985
362638,63.7363166
362716,63.7285021
362796,63.7204798
362993,63.7008018
363064,63.6936019
363071,63.6929226
363116,63.6885175
363227,63.6774784
363309,63.6692174
363539,63.646164
363549,63.6451279
363651,63.6350392
363676,63.6324716
363752,63.6249322
363791,63.6210195
363887,63.6114239
364416,63.5585017
364676,63.5325192
364762,63.523894
364785,63.5215682
364848,63.5152518
364889,63.5110807
365152,63.4848909
365500,63.450176
365553,63.4448365
365555,63.4446114
365734,63.4266633
365781,63.4220499
365926,63.407494
365949,63.4052787
366009,63.3991509
366174,63.3826625
366598,63.3402576
366724,63.3276259
366731,63.3269531
366892,63.3109052
367048,63.2952644
367215,63.2784072
367460,63.2541537
367494,63.2506158
368289,63.1712295
368390,63.1611016
368587,63.1415059
368990,63.1011498
369093,63.0907748
369294,63.0706649
369418,63.0583751
369458,63.0542262
369628,63.0373095
369957,63.0043934
370193,62.9807828
370342,62.9659177
370398,62.9603095
370471,62.9530229
370478,62.9523069
370501,62.9500209
370593,62.9408047
370842,62.915867
371539,62.8462002
371554,62.8446643
371665,62.833561
371724,62.8276832
371852,62.814894
372131,62.7870018
372456,62.7545458
372916,62.7084751
373105,62.6896098
373125,62.6876059
373163,62.6837696
373260,62.6741037
373321,62.6680501
373458,62.6543093
373541,62.6460113
373560,62.6440647
373602,62.6399984
373703,62.6297676
373757,62.6243166
373868,62.613343
373978,62.6022943
374140,62.5860848
374177,62.5823727
374250,62.5751936
374538,62.5463177
374541,62.5460275
374795,62.5206081
374936,62.5065135
375005,62.4996699
375199,62.4801875
375239,62.4761272
375280,62.4721434
375391,62.4610248
375562,62.4439054
375618,62.4383235
375787,62.4213815
376166,62.383501
376298,62.3702934
376499,62.3501704
376504,62.3497595
376568,62.3432294
376656,62.334618
377100,62.2901439
377301,62.2699111
377331,62.2669888
377465,62.2535916
377589,62.2412196
377722,62.2278505
377907,62.2094016
377936,62.2064939
378256,62.1744631
378463,62.1537562
378647,62.1354459
378699,62.1301152
378705,62.1296239
378822,62.1179399
379304,62.0696891
379717,62.0284026
379819,62.0182582
379875,62.0125648
379947,62.0053699
380186,61.9814752
380196,61.9805583
380200,61.9801646
380203,61.9797302
380556,61.9445503
380621,61.9380409
380759,61.9242777
380765,61.9236193
380845,61.9155978
380921,61.9080573
381197,61.8804349
381280,61.8722122
381534,61.8467479
381737,61.8264077
381933,61.8067413
381983,61.801771
381992,61.8008282
382174,61.7826892
382313,61.7688463
382594,61.7406998
382762,61.7239511
382773,61.7228169
382938,61.7062798
382969,61.7032044
383127,61.6874236
383256,61.674507
